yManuf,yHlth,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
-0.016642135,0.017988242,1,-0.006829929,-0.003255289,-0.011761175,0.008007709,-0.004700654,0.001514701
0.019056726,0.00317947,1,0.013491362,0.000568747,-0.011558561,-0.001210703,0.000792599,0.014537728
0.021599259,0.028532564,1,0.020128252,0.00079742,-0.002300967,-0.002604958,-0.005506893,-0.003030802
-0.039581757,4.17E-06,1,-0.018711071,-0.018438972,-0.003810852,0.015069261,-0.004999087,-0.026614606
-0.005085285,0.015311575,1,-0.000563942,0.00513296,-0.013740977,0.010525301,-0.007781028,-0.001736357
0.001156224,-0.00424563,1,-0.003703618,-0.006851838,-0.000717652,-0.00071025,-0.001007046,0.005702939
0.007746992,-0.003453013,1,0.000179574,0.010564951,-0.002806328,-0.002316803,-0.000207407,0.01540998
-0.022824971,-0.015817786,1,-0.024973757,-0.008905907,-5.59E-06,0.001069253,-0.008488156,-0.000807625
-0.019833658,-0.017834372,1,-0.023721692,-0.009193678,0.000384019,0.009820953,-0.0059928,-0.005951286
-0.006527279,0.002982806,1,-4.51E-05,0.001637432,0.008996004,0.011547077,-0.00361604,-0.012033458
0.000255551,-0.000231585,1,0.002190049,0.022675076,-0.011180658,0.000392033,-0.000405611,0.020709544
0.060889373,0.036467557,1,0.055787233,-0.000527954,-0.000139051,-0.002307113,0.005195653,0.022047106
0.005634431,0.001888281,1,0.00522908,0.009828792,-0.017012828,0.007815201,-0.009871163,0.016648214
-0.010003889,-0.0141085,1,-0.021520626,-0.003242556,-0.002725046,0.009515463,-0.003222274,-0.000839638
0.019216173,0.006703693,1,0.020635834,-0.006815864,-0.000138253,0.001973625,-0.005530337,-0.000649084
-0.04658658,-0.042358956,1,-0.041218003,-0.012668126,0.006508924,0.006392016,-0.000818915,-0.011474296
-0.090222494,-0.076904311,1,-0.077540103,-0.023930251,-0.000924612,0.022462105,-0.003101491,-0.028048403
-0.008010441,-0.00694121,1,-0.016059877,-0.011335964,-0.03244151,0.011249035,-0.012245017,0.037398846
-0.052026946,-0.019063448,1,-0.050523299,-0.014687573,0.018167694,0.00409561,0.016705554,-0.041099367
0.047686818,0.037880005,1,0.050100761,0.01031156,-0.011813085,0.000171433,-0.006431251,0.027237715
0.00313768,0.005327645,1,-0.002129415,-0.009201146,-0.011354115,0.001288577,-0.000508772,0.014143835
-0.017805166,-0.00964473,1,-0.015589008,0.003017825,-0.002474788,-0.003074737,-0.002401186,0.005922603
0.047813446,0.03597569,1,0.054710763,0.001946594,-0.003136763,-0.006196913,-0.005290804,-0.001035206
-0.091273908,-0.042470578,1,-0.067769254,-0.016815775,-0.016922092,0.020319939,0.003275371,0.02677422
-0.001089579,0.009100025,1,-0.006124603,-0.00790229,0.024801512,-0.004971587,0.008401816,-0.017992163
0.026399462,0.007079506,1,0.02276982,0.002268855,-0.01571376,0.007020876,-0.003705028,-0.002403141
0.068680415,0.033639038,1,0.062808711,0.02085955,-0.002434499,-0.008006151,-0.011166836,-0.010690086
0.023386081,0.005689719,1,0.009422559,-0.013847524,0.021575513,-0.008492721,0.011138047,-0.016845823
0.044830666,0.027671217,1,0.040884014,0.025891118,0.003716632,-0.019773379,-0.005010294,-0.041163986
-0.018184283,-0.027532878,1,-0.022822174,0.008362045,-0.016618443,0.014397334,0.000298661,0.02660281
0.008642762,0.018584909,1,0.006174204,-0.009130999,0.00575755,0.009800101,0.009012562,0.007947141
-0.038445513,-0.032665504,1,-0.03683646,0.004656962,-0.001079679,0.008927266,0.006991549,0.027039498
-0.055170442,-0.031345467,1,-0.048636286,-0.025366279,-0.004519731,0.006297146,0.002491397,0.025610011
0.085066981,0.057209537,1,0.076879596,0.021404238,0.004989148,-0.013304005,-0.001424689,-0.020407509
0.002180272,0.0107588,1,0.008457394,0.005287657,0.001821815,0.000234875,-0.000221008,-0.001930124
-0.035004681,-0.000629334,1,-0.028737008,-0.003377924,0.006167115,0.010830693,0.015773251,0.030219421
